"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 24 07:31:48 GMT 2024","Sat Aug 24 07:31:48 GMT 2024","124","heatwave","Customer","Orders","","","Initiate order",""
"failed","Sat Aug 24 07:31:42 GMT 2024","Sat Aug 24 07:31:43 GMT 2024","115","heatwave","Admin","Categories","","","Categories-Existing category",""
"passed","Sat Aug 24 07:31:44 GMT 2024","Sat Aug 24 07:31:45 GMT 2024","305","heatwave","Customer","Auth > Sign Up","","","SignUp",""
"passed","Sat Aug 24 07:31:46 GMT 2024","Sat Aug 24 07:31:46 GMT 2024","218","heatwave","Customer","Auth > Log in","","","Login",""
"passed","Sat Aug 24 07:31:44 GMT 2024","Sat Aug 24 07:31:44 GMT 2024","109","heatwave","Admin","Utilities","","","Delivery Locations-Invalid Token",""
"passed","Sat Aug 24 07:31:48 GMT 2024","Sat Aug 24 07:31:48 GMT 2024","98","heatwave","Customer","Cart","","","Cart",""
"passed","Sat Aug 24 07:31:40 GMT 2024","Sat Aug 24 07:31:40 GMT 2024","127","heatwave","Admin","Auth > Signup","","","SignUp-weak password",""
"passed","Sat Aug 24 07:31:40 GMT 2024","Sat Aug 24 07:31:40 GMT 2024","215","heatwave","Admin","Auth > Login","","","Login",""
"passed","Sat Aug 24 07:31:43 GMT 2024","Sat Aug 24 07:31:43 GMT 2024","118","heatwave","Admin","Categories","","","Categories-No Auth",""
"passed","Sat Aug 24 07:31:43 GMT 2024","Sat Aug 24 07:31:43 GMT 2024","128","heatwave","Admin","Categories","","","Categories",""
"passed","Sat Aug 24 07:31:42 GMT 2024","Sat Aug 24 07:31:42 GMT 2024","112","heatwave","Admin","Collections","","","Collections-Invalid Token",""
"passed","Sat Aug 24 07:31:48 GMT 2024","Sat Aug 24 07:31:48 GMT 2024","101","heatwave","Customer","Cart","","","Update Cart-Invalid Token",""
"passed","Sat Aug 24 07:31:48 GMT 2024","Sat Aug 24 07:31:48 GMT 2024","112","heatwave","Customer","Cart","","","Update Cart-No Auth",""
"passed","Sat Aug 24 07:31:41 GMT 2024","Sat Aug 24 07:31:41 GMT 2024","115","heatwave","Admin","Auth > Login","","","Login-Invalid Email",""
"passed","Sat Aug 24 07:31:41 GMT 2024","Sat Aug 24 07:31:41 GMT 2024","113","heatwave","Admin","Auth > Login","","","Login-Empty email field",""
"passed","Sat Aug 24 07:31:46 GMT 2024","Sat Aug 24 07:31:46 GMT 2024","123","heatwave","Customer","Auth > Sign Up","","","SignUp-Existing email",""
"passed","Sat Aug 24 07:31:46 GMT 2024","Sat Aug 24 07:31:46 GMT 2024","214","heatwave","Customer","Auth > Log in","","","Login-Invalid Email",""
"passed","Sat Aug 24 07:31:42 GMT 2024","Sat Aug 24 07:31:42 GMT 2024","119","heatwave","Admin","Categories","","","Categories-No Auth",""
"passed","Sat Aug 24 07:31:47 GMT 2024","Sat Aug 24 07:31:47 GMT 2024","113","heatwave","Customer","Profile","","","Profile",""
"passed","Sat Aug 24 07:31:40 GMT 2024","Sat Aug 24 07:31:40 GMT 2024","123","heatwave","Admin","Auth > Signup","","","SignUp-Existing Phone no",""
"passed","Sat Aug 24 07:31:41 GMT 2024","Sat Aug 24 07:31:41 GMT 2024","27","heatwave","Admin","Auth > Login","","","Login-Empty password field",""
