"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Aug 24 07:41:01 GMT 2024","Sat Aug 24 07:41:01 GMT 2024","123","heatwave","Admin","Categories","","","Categories-Empty fields",""
"failed","Sat Aug 24 07:41:00 GMT 2024","Sat Aug 24 07:41:00 GMT 2024","72","heatwave","Admin","Collections","","","Collections-Empty fields",""
"passed","Sat Aug 24 07:41:02 GMT 2024","Sat Aug 24 07:41:02 GMT 2024","210","heatwave","Customer","Auth > Sign Up","","","SignUp",""
"passed","Sat Aug 24 07:41:04 GMT 2024","Sat Aug 24 07:41:04 GMT 2024","61","heatwave","Customer","Profile","","","Profile-No Auth",""
"passed","Sat Aug 24 07:41:04 GMT 2024","Sat Aug 24 07:41:04 GMT 2024","91","heatwave","Customer","Cart","","","Update Cart",""
"failed","Sat Aug 24 07:41:03 GMT 2024","Sat Aug 24 07:41:03 GMT 2024","75","heatwave","Customer","Auth > Sign Up","","","SignUp-Existing Phone no",""
"failed","Sat Aug 24 07:41:03 GMT 2024","Sat Aug 24 07:41:03 GMT 2024","95","heatwave","Customer","Auth > Sign Up","","","SignUp-Invalid inputs",""
"passed","Sat Aug 24 07:40:59 GMT 2024","Sat Aug 24 07:40:59 GMT 2024","80","heatwave","Admin","Auth > Signup","","","SignUp-Empty FirstName Field",""
"passed","Sat Aug 24 07:41:04 GMT 2024","Sat Aug 24 07:41:04 GMT 2024","74","heatwave","Customer","Auth > Log in","","","Login-Empty Password field",""
"failed","Sat Aug 24 07:41:02 GMT 2024","Sat Aug 24 07:41:02 GMT 2024","66","heatwave","Admin","Utilities","","","Delivery Area-Expired token",""
"passed","Sat Aug 24 07:41:04 GMT 2024","Sat Aug 24 07:41:04 GMT 2024","65","heatwave","Customer","Profile","","","Profile-InvalidToken",""
"passed","Sat Aug 24 07:41:05 GMT 2024","Sat Aug 24 07:41:05 GMT 2024","59","heatwave","Customer","Orders","","","Verify Order/Create Order",""
