"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Aug 10 19:53:18 GMT 2024","Sat Aug 10 19:53:18 GMT 2024","74","heatwave","Admin","Utilities","","","States and LGA-Invalid Token Permission",""
"passed","Sat Aug 10 19:53:19 GMT 2024","Sat Aug 10 19:53:19 GMT 2024","208","heatwave","Customer","Auth","","","SignUp-EmptyFields",""
"passed","Sat Aug 10 19:53:21 GMT 2024","Sat Aug 10 19:53:21 GMT 2024","66","heatwave","Customer","Profile","","","Profile-No Auth",""
"passed","Sat Aug 10 19:53:17 GMT 2024","Sat Aug 10 19:53:17 GMT 2024","67","heatwave","Admin","Auth","","","Login-Empty email field",""
"passed","Sat Aug 10 19:53:21 GMT 2024","Sat Aug 10 19:53:21 GMT 2024","68","heatwave","Customer","Auth","","","Login-Empty Email field",""
"passed","Sat Aug 10 19:53:19 GMT 2024","Sat Aug 10 19:53:20 GMT 2024","83","heatwave","Customer","Auth","","","SignUp-Invalid phone no",""
"passed","Sat Aug 10 19:53:17 GMT 2024","Sat Aug 10 19:53:17 GMT 2024","37","heatwave","Admin","Auth","","","Login-Empty password field",""
"passed","Sat Aug 10 19:53:16 GMT 2024","Sat Aug 10 19:53:17 GMT 2024","192","heatwave","Admin","Auth","","","Login-incorrect password",""
"passed","Sat Aug 10 19:53:19 GMT 2024","Sat Aug 10 19:53:19 GMT 2024","197","heatwave","Customer","Auth","","","SignUp-Invalid Email",""
"passed","Sat Aug 10 19:53:20 GMT 2024","Sat Aug 10 19:53:20 GMT 2024","78","heatwave","Customer","Auth","","","SignUp-Weak Password",""
"passed","Sat Aug 10 19:53:22 GMT 2024","Sat Aug 10 19:53:22 GMT 2024","63","heatwave","Customer","Orders","","","Orders-Expired Token",""
"failed","Sat Aug 10 19:53:21 GMT 2024","Sat Aug 10 19:53:21 GMT 2024","79","heatwave","Customer","Profile","","","Profile",""
"passed","Sat Aug 10 19:53:17 GMT 2024","Sat Aug 10 19:53:17 GMT 2024","74","heatwave","Admin","Collections","","","Collections-Invalid Token",""
"passed","Sat Aug 10 19:53:17 GMT 2024","Sat Aug 10 19:53:18 GMT 2024","70","heatwave","Admin","Categories","","","Categories-No Auth",""
"passed","Sat Aug 10 19:53:22 GMT 2024","Sat Aug 10 19:53:22 GMT 2024","103","heatwave","Customer","Orders","","","Orders-No Auth",""
"passed","Sat Aug 10 19:53:18 GMT 2024","Sat Aug 10 19:53:18 GMT 2024","71","heatwave","Admin","Categories","","","Categories-No Auth",""
"passed","Sat Aug 10 19:53:19 GMT 2024","Sat Aug 10 19:53:19 GMT 2024","67","heatwave","Admin","Utilities","","","Delivery Area-Invalid token",""
"passed","Sat Aug 10 19:53:20 GMT 2024","Sat Aug 10 19:53:20 GMT 2024","64","heatwave","Customer","Auth","","","Login-Empty fields",""
"failed","Sat Aug 10 19:53:20 GMT 2024","Sat Aug 10 19:53:20 GMT 2024","80","heatwave","Customer","Auth","","","SignUp-Invalid inputs",""
"passed","Sat Aug 10 19:53:20 GMT 2024","Sat Aug 10 19:53:20 GMT 2024","174","heatwave","Customer","Auth","","","Login-Incorrect password",""
"failed","Sat Aug 10 19:53:15 GMT 2024","Sat Aug 10 19:53:16 GMT 2024","210","heatwave","Admin","Auth","","","SignUp-Invalid Email",""
"passed","Sat Aug 10 19:53:15 GMT 2024","Sat Aug 10 19:53:15 GMT 2024","88","heatwave","Admin","Auth","","","SignUp-Empty fields",""
"passed","Sat Aug 10 19:53:22 GMT 2024","Sat Aug 10 19:53:22 GMT 2024","67","heatwave","Customer","Cart","","","Cart Item By Id",""
"failed","Sat Aug 10 19:53:21 GMT 2024","Sat Aug 10 19:53:22 GMT 2024","123","heatwave","Customer","Cart","","","Update Cart-Empty field",""
"failed","Sat Aug 10 19:53:19 GMT 2024","Sat Aug 10 19:53:19 GMT 2024","83","heatwave","Admin","Utilities","","","Delivery Area-Expired token",""
"passed","Sat Aug 10 19:53:17 GMT 2024","Sat Aug 10 19:53:17 GMT 2024","78","heatwave","Admin","Auth","","","Login-Invalid Email",""
"passed","Sat Aug 10 19:53:21 GMT 2024","Sat Aug 10 19:53:21 GMT 2024","63","heatwave","Customer","Cart","","","Update Cart-No Auth",""
"passed","Sat Aug 10 19:53:17 GMT 2024","Sat Aug 10 19:53:17 GMT 2024","65","heatwave","Admin","Collections","","","Collections-No Auth",""
"failed","Sat Aug 10 19:53:22 GMT 2024","Sat Aug 10 19:53:22 GMT 2024","66","heatwave","Customer","Orders","","","Orders-Invalid Token",""
"passed","Sat Aug 10 19:53:15 GMT 2024","Sat Aug 10 19:53:15 GMT 2024","667","heatwave","Admin","Auth","","","SignUp",""
"failed","Sat Aug 10 19:53:19 GMT 2024","Sat Aug 10 19:53:19 GMT 2024","77","heatwave","Admin","Utilities","","","Delivery Area",""
"failed","Sat Aug 10 19:53:18 GMT 2024","Sat Aug 10 19:53:18 GMT 2024","74","heatwave","Admin","Utilities","","","Delivery Locations",""
"passed","Sat Aug 10 19:53:20 GMT 2024","Sat Aug 10 19:53:20 GMT 2024","82","heatwave","Customer","Auth","","","SignUp-Existing email",""
