"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Aug 24 07:25:41 GMT 2024","Sat Aug 24 07:25:41 GMT 2024","64","heatwave","Admin","Utilities","","","Delivery Area-Expired token",""
"passed","Sat Aug 24 07:25:40 GMT 2024","Sat Aug 24 07:25:40 GMT 2024","67","heatwave","Admin","Categories","","","Categories-No Auth",""
"passed","Sat Aug 24 07:25:43 GMT 2024","Sat Aug 24 07:25:43 GMT 2024","58","heatwave","Customer","Cart","","","Update Cart-Invalid Token",""
"passed","Sat Aug 24 07:25:41 GMT 2024","Sat Aug 24 07:25:41 GMT 2024","278","heatwave","Admin","Utilities","","","Delivery Area-No Auth",""
"passed","Sat Aug 24 07:25:39 GMT 2024","Sat Aug 24 07:25:39 GMT 2024","80","heatwave","Admin","Collections","","","Collections-No Auth",""
"passed","Sat Aug 24 07:25:38 GMT 2024","Sat Aug 24 07:25:38 GMT 2024","180","heatwave","Admin","Auth > Login","","","Login Copy",""
"failed","Sat Aug 24 07:25:44 GMT 2024","Sat Aug 24 07:25:44 GMT 2024","57","heatwave","Customer","Orders","","","Orders by ID",""
"failed","Sat Aug 24 07:25:40 GMT 2024","Sat Aug 24 07:25:40 GMT 2024","69","heatwave","Admin","Utilities","","","States and LGA-Invalid Token Permission",""
"failed","Sat Aug 24 07:25:40 GMT 2024","Sat Aug 24 07:25:40 GMT 2024","92","heatwave","Admin","Categories","","","Categories-Invalid Token",""
"passed","Sat Aug 24 07:25:44 GMT 2024","Sat Aug 24 07:25:44 GMT 2024","55","heatwave","Customer","Cart","","","Cart",""
"failed","Sat Aug 24 07:25:39 GMT 2024","Sat Aug 24 07:25:39 GMT 2024","80","heatwave","Admin","Collections","","","Collections-Invalid Token",""
"passed","Sat Aug 24 07:25:44 GMT 2024","Sat Aug 24 07:25:44 GMT 2024","65","heatwave","Customer","Orders","","","Orders-Expired Token",""
"passed","Sat Aug 24 07:25:38 GMT 2024","Sat Aug 24 07:25:38 GMT 2024","185","heatwave","Admin","Auth > Login","","","Login",""
"failed","Sat Aug 24 07:25:40 GMT 2024","Sat Aug 24 07:25:40 GMT 2024","154","heatwave","Admin","Utilities","","","Delivery Locations-Expired token",""
"passed","Sat Aug 24 07:25:44 GMT 2024","Sat Aug 24 07:25:44 GMT 2024","61","heatwave","Customer","Orders","","","Orders-Expired Token",""
"passed","Sat Aug 24 07:25:41 GMT 2024","Sat Aug 24 07:25:41 GMT 2024","194","heatwave","Customer","Auth > Sign Up","","","SignUp-EmptyFields",""
"passed","Sat Aug 24 07:25:43 GMT 2024","Sat Aug 24 07:25:43 GMT 2024","62","heatwave","Customer","Cart","","","Update Cart-Expired Token",""
"passed","Sat Aug 24 07:25:44 GMT 2024","Sat Aug 24 07:25:44 GMT 2024","58","heatwave","Customer","Cart","","","Cart Item By Id",""
"failed","Sat Aug 24 07:25:42 GMT 2024","Sat Aug 24 07:25:42 GMT 2024","72","heatwave","Customer","Auth > Sign Up","","","SignUp-Existing Phone no",""
"passed","Sat Aug 24 07:25:43 GMT 2024","Sat Aug 24 07:25:43 GMT 2024","101","heatwave","Customer","Auth > Log in","","","Login-Empty Password field",""
"failed","Sat Aug 24 07:25:40 GMT 2024","Sat Aug 24 07:25:41 GMT 2024","72","heatwave","Admin","Utilities","","","Delivery Area",""
"passed","Sat Aug 24 07:25:38 GMT 2024","Sat Aug 24 07:25:38 GMT 2024","175","heatwave","Admin","Auth > Login","","","Login-incorrect password",""
"failed","Sat Aug 24 07:25:44 GMT 2024","Sat Aug 24 07:25:44 GMT 2024","60","heatwave","Customer","Orders","","","Orders-Invalid Token",""
"passed","Sat Aug 24 07:25:43 GMT 2024","Sat Aug 24 07:25:44 GMT 2024","60","heatwave","Customer","Cart","","","Update Cart-No Auth",""
"passed","Sat Aug 24 07:25:44 GMT 2024","Sat Aug 24 07:25:44 GMT 2024","71","heatwave","Customer","Orders","","","Initiate order",""
"failed","Sat Aug 24 07:25:42 GMT 2024","Sat Aug 24 07:25:42 GMT 2024","75","heatwave","Customer","Auth > Sign Up","","","SignUp-Invalid inputs",""
"passed","Sat Aug 24 07:25:42 GMT 2024","Sat Aug 24 07:25:42 GMT 2024","177","heatwave","Customer","Auth > Log in","","","Login-Incorrect password",""
"passed","Sat Aug 24 07:25:39 GMT 2024","Sat Aug 24 07:25:39 GMT 2024","80","heatwave","Admin","Collections","","","Collections-Invalid Token",""
"passed","Sat Aug 24 07:25:42 GMT 2024","Sat Aug 24 07:25:42 GMT 2024","72","heatwave","Customer","Auth > Sign Up","","","SignUp-Existing email",""
"passed","Sat Aug 24 07:25:39 GMT 2024","Sat Aug 24 07:25:39 GMT 2024","66","heatwave","Admin","Auth > Login","","","Login-Empty email field",""
"passed","Sat Aug 24 07:25:42 GMT 2024","Sat Aug 24 07:25:42 GMT 2024","75","heatwave","Customer","Auth > Sign Up","","","SignUp-Weak Password",""
"passed","Sat Aug 24 07:25:43 GMT 2024","Sat Aug 24 07:25:43 GMT 2024","208","heatwave","Customer","Auth > Log in","","","Login-Empty fields",""
"passed","Sat Aug 24 07:25:40 GMT 2024","Sat Aug 24 07:25:40 GMT 2024","61","heatwave","Admin","Utilities","","","States and LGA-Invalid Token",""
"broken","Sat Aug 24 07:25:41 GMT 2024","Sat Aug 24 07:25:41 GMT 2024","17","heatwave","Admin","Product","","","Create Product",""
"failed","Sat Aug 24 07:25:40 GMT 2024","Sat Aug 24 07:25:40 GMT 2024","70","heatwave","Admin","Categories","","","Categories-Existing category",""
"failed","Sat Aug 24 07:25:40 GMT 2024","Sat Aug 24 07:25:40 GMT 2024","66","heatwave","Admin","Utilities","","","States and LGA",""
"passed","Sat Aug 24 07:25:40 GMT 2024","Sat Aug 24 07:25:40 GMT 2024","66","heatwave","Admin","Utilities","","","Delivery Locations-No Auth",""
"failed","Sat Aug 24 07:25:40 GMT 2024","Sat Aug 24 07:25:40 GMT 2024","68","heatwave","Admin","Categories","","","Categories",""
"failed","Sat Aug 24 07:25:37 GMT 2024","Sat Aug 24 07:25:38 GMT 2024","234","heatwave","Admin","Auth > Signup","","","SignUp-Invalid Email",""
"passed","Sat Aug 24 07:25:38 GMT 2024","Sat Aug 24 07:25:38 GMT 2024","41","heatwave","Admin","Auth > Signup","","","SignUp-Existing email",""
"passed","Sat Aug 24 07:25:41 GMT 2024","Sat Aug 24 07:25:42 GMT 2024","188","heatwave","Customer","Auth > Sign Up","","","SignUp-Invalid Email",""
"passed","Sat Aug 24 07:25:42 GMT 2024","Sat Aug 24 07:25:42 GMT 2024","75","heatwave","Customer","Auth > Sign Up","","","SignUp-Invalid phone no",""
"passed","Sat Aug 24 07:25:37 GMT 2024","Sat Aug 24 07:25:37 GMT 2024","692","heatwave","Admin","Auth > Signup","","","SignUp",""
"passed","Sat Aug 24 07:25:44 GMT 2024","Sat Aug 24 07:25:44 GMT 2024","59","heatwave","Customer","Orders","","","Verify Order/Create Order",""
"passed","Sat Aug 24 07:25:44 GMT 2024","Sat Aug 24 07:25:44 GMT 2024","63","heatwave","Customer","Orders","","","Orders-No Auth",""
"passed","Sat Aug 24 07:25:38 GMT 2024","Sat Aug 24 07:25:38 GMT 2024","74","heatwave","Admin","Auth > Login","","","Login-Invalid Email",""
"passed","Sat Aug 24 07:25:39 GMT 2024","Sat Aug 24 07:25:39 GMT 2024","76","heatwave","Admin","Collections","","","Collections-No Auth",""
"passed","Sat Aug 24 07:25:41 GMT 2024","Sat Aug 24 07:25:41 GMT 2024","201","heatwave","Customer","Auth > Sign Up","","","SignUp",""
"passed","Sat Aug 24 07:25:39 GMT 2024","Sat Aug 24 07:25:39 GMT 2024","213","heatwave","Admin","Collections","","","Collections",""
"failed","Sat Aug 24 07:25:39 GMT 2024","Sat Aug 24 07:25:39 GMT 2024","73","heatwave","Admin","Collections","","","Collections-Empty fields",""
"passed","Sat Aug 24 07:25:38 GMT 2024","Sat Aug 24 07:25:38 GMT 2024","87","heatwave","Admin","Auth > Signup","","","SignUp-Existing Phone no",""
"passed","Sat Aug 24 07:25:37 GMT 2024","Sat Aug 24 07:25:37 GMT 2024","82","heatwave","Admin","Auth > Signup","","","SignUp-Empty FirstName Field",""
"broken","Sat Aug 24 07:25:38 GMT 2024","Sat Aug 24 07:25:38 GMT 2024","32","heatwave","Admin","Auth > Signup","","","SignUp-Invalid Phone no",""
"failed","Sat Aug 24 07:25:39 GMT 2024","Sat Aug 24 07:25:40 GMT 2024","81","heatwave","Admin","Categories","","","Categories-Empty fields",""
"passed","Sat Aug 24 07:25:44 GMT 2024","Sat Aug 24 07:25:44 GMT 2024","58","heatwave","Customer","Orders","","","Orders-Invalid Token",""
"passed","Sat Aug 24 07:25:41 GMT 2024","Sat Aug 24 07:25:41 GMT 2024","150","heatwave","Admin","Utilities","","","Delivery Area-Invalid token",""
"failed","Sat Aug 24 07:25:39 GMT 2024","Sat Aug 24 07:25:39 GMT 2024","88","heatwave","Admin","Collections","","","Collections",""
"passed","Sat Aug 24 07:25:44 GMT 2024","Sat Aug 24 07:25:44 GMT 2024","56","heatwave","Customer","Cart","","","Update Cart-Empty ID",""
"failed","Sat Aug 24 07:25:44 GMT 2024","Sat Aug 24 07:25:44 GMT 2024","64","heatwave","Customer","Orders","","","Orders",""
"passed","Sat Aug 24 07:25:42 GMT 2024","Sat Aug 24 07:25:43 GMT 2024","176","heatwave","Customer","Auth > Log in","","","Login-Invalid Email",""
"passed","Sat Aug 24 07:25:40 GMT 2024","Sat Aug 24 07:25:40 GMT 2024","59","heatwave","Admin","Utilities","","","States and LGA-No Auth",""
"passed","Sat Aug 24 07:25:38 GMT 2024","Sat Aug 24 07:25:38 GMT 2024","36","heatwave","Admin","Auth > Login","","","Login-Empty fields",""
"passed","Sat Aug 24 07:25:38 GMT 2024","Sat Aug 24 07:25:38 GMT 2024","92","heatwave","Admin","Auth > Signup","","","SignUp-weak password",""
