"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 24 06:48:50 GMT 2024","Sat Aug 24 06:48:50 GMT 2024","48","heatwave","Admin","Utilities","","","Delivery Area-No Auth",""
"failed","Sat Aug 24 06:48:49 GMT 2024","Sat Aug 24 06:48:49 GMT 2024","57","heatwave","Admin","Utilities","","","States and LGA",""
"passed","Sat Aug 24 06:48:49 GMT 2024","Sat Aug 24 06:48:49 GMT 2024","52","heatwave","Admin","Categories","","","Categories-No Auth",""
"passed","Sat Aug 24 06:48:52 GMT 2024","Sat Aug 24 06:48:52 GMT 2024","45","heatwave","Customer","Profile","","","Profile-No Auth",""
"passed","Sat Aug 24 06:48:49 GMT 2024","Sat Aug 24 06:48:50 GMT 2024","141","heatwave","Admin","Utilities","","","States and LGA-No Auth",""
"passed","Sat Aug 24 06:48:50 GMT 2024","Sat Aug 24 06:48:50 GMT 2024","189","heatwave","Customer","Auth > Sign Up","","","SignUp",""
"passed","Sat Aug 24 06:48:50 GMT 2024","Sat Aug 24 06:48:51 GMT 2024","176","heatwave","Customer","Auth > Sign Up","","","SignUp-Invalid Email",""
"passed","Sat Aug 24 06:48:48 GMT 2024","Sat Aug 24 06:48:48 GMT 2024","37","heatwave","Admin","Auth > Login","","","Login-Empty fields",""
"failed","Sat Aug 24 06:48:50 GMT 2024","Sat Aug 24 06:48:50 GMT 2024","50","heatwave","Admin","Utilities","","","Delivery Locations-Expired token",""
"passed","Sat Aug 24 06:48:49 GMT 2024","Sat Aug 24 06:48:49 GMT 2024","69","heatwave","Admin","Collections","","","Collections-Invalid Token",""
"passed","Sat Aug 24 06:48:48 GMT 2024","Sat Aug 24 06:48:48 GMT 2024","48","heatwave","Admin","Auth > Login","","","Login-Empty email field",""
"passed","Sat Aug 24 06:48:52 GMT 2024","Sat Aug 24 06:48:52 GMT 2024","48","heatwave","Customer","Auth > Log in","","","Login-Empty Email field",""
"passed","Sat Aug 24 06:48:52 GMT 2024","Sat Aug 24 06:48:52 GMT 2024","49","heatwave","Customer","Cart","","","Update Cart-No Auth",""
"passed","Sat Aug 24 06:48:47 GMT 2024","Sat Aug 24 06:48:47 GMT 2024","627","heatwave","Admin","Auth > Signup","","","SignUp",""
"passed","Sat Aug 24 06:48:50 GMT 2024","Sat Aug 24 06:48:50 GMT 2024","48","heatwave","Admin","Utilities","","","States and LGA-Invalid Token",""
"broken","Sat Aug 24 06:48:47 GMT 2024","Sat Aug 24 06:48:48 GMT 2024","32","heatwave","Admin","Auth > Signup","","","SignUp-Invalid Phone no",""
"passed","Sat Aug 24 06:48:51 GMT 2024","Sat Aug 24 06:48:51 GMT 2024","157","heatwave","Customer","Auth > Log in","","","Login-Incorrect password",""
"passed","Sat Aug 24 06:48:51 GMT 2024","Sat Aug 24 06:48:52 GMT 2024","47","heatwave","Customer","Auth > Log in","","","Login-Empty fields",""
"passed","Sat Aug 24 06:48:53 GMT 2024","Sat Aug 24 06:48:53 GMT 2024","47","heatwave","Customer","Orders","","","Orders-Expired Token",""
"passed","Sat Aug 24 06:48:51 GMT 2024","Sat Aug 24 06:48:51 GMT 2024","65","heatwave","Customer","Auth > Sign Up","","","SignUp-Invalid phone no",""
"passed","Sat Aug 24 06:48:51 GMT 2024","Sat Aug 24 06:48:51 GMT 2024","184","heatwave","Customer","Auth > Log in","","","Login",""
"failed","Sat Aug 24 06:48:52 GMT 2024","Sat Aug 24 06:48:52 GMT 2024","45","heatwave","Customer","Orders","","","Orders",""
"failed","Sat Aug 24 06:48:49 GMT 2024","Sat Aug 24 06:48:49 GMT 2024","61","heatwave","Admin","Categories","","","Categories-Empty fields",""
"passed","Sat Aug 24 06:48:52 GMT 2024","Sat Aug 24 06:48:52 GMT 2024","45","heatwave","Customer","Cart","","","Cart Item By Id",""
