"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Aug 14 17:42:50 GMT 2024","Wed Aug 14 17:42:50 GMT 2024","51","heatwave","Customer","Cart","","","Update Cart",""
"passed","Wed Aug 14 17:42:48 GMT 2024","Wed Aug 14 17:42:48 GMT 2024","50","heatwave","Admin","Utilities","","","Delivery Locations-Invalid Token",""
"passed","Wed Aug 14 17:42:49 GMT 2024","Wed Aug 14 17:42:49 GMT 2024","260","heatwave","Customer","Auth","","","Login-Incorrect password",""
"passed","Wed Aug 14 17:42:47 GMT 2024","Wed Aug 14 17:42:47 GMT 2024","55","heatwave","Admin","Collections","","","Collections-Invalid Token",""
"failed","Wed Aug 14 17:42:50 GMT 2024","Wed Aug 14 17:42:50 GMT 2024","50","heatwave","Customer","Profile","","","Profile",""
"passed","Wed Aug 14 17:42:45 GMT 2024","Wed Aug 14 17:42:45 GMT 2024","29","heatwave","Admin","Auth > Signup","","","SignUp-Existing email",""
"passed","Wed Aug 14 17:42:48 GMT 2024","Wed Aug 14 17:42:49 GMT 2024","60","heatwave","Customer","Auth","","","SignUp-Invalid phone no",""
"failed","Wed Aug 14 17:42:47 GMT 2024","Wed Aug 14 17:42:47 GMT 2024","58","heatwave","Admin","Categories","","","Categories",""
"failed","Wed Aug 14 17:42:47 GMT 2024","Wed Aug 14 17:42:47 GMT 2024","70","heatwave","Admin","Collections","","","Collections",""
"passed","Wed Aug 14 17:42:50 GMT 2024","Wed Aug 14 17:42:50 GMT 2024","44","heatwave","Customer","Cart","","","Update Cart-No Auth",""
"passed","Wed Aug 14 17:42:50 GMT 2024","Wed Aug 14 17:42:50 GMT 2024","45","heatwave","Customer","Profile","","","Profile-Expired Token",""
"broken","Wed Aug 14 17:42:45 GMT 2024","Wed Aug 14 17:42:45 GMT 2024","27","heatwave","Admin","Auth > Signup","","","SignUp-Invalid Phone no",""
"passed","Wed Aug 14 17:42:49 GMT 2024","Wed Aug 14 17:42:50 GMT 2024","48","heatwave","Customer","Auth","","","Login-Empty fields",""
"failed","Wed Aug 14 17:42:47 GMT 2024","Wed Aug 14 17:42:47 GMT 2024","62","heatwave","Admin","Utilities","","","Delivery Locations",""
"failed","Wed Aug 14 17:42:46 GMT 2024","Wed Aug 14 17:42:46 GMT 2024","64","heatwave","Admin","Collections","","","Collections",""
"passed","Wed Aug 14 17:42:48 GMT 2024","Wed Aug 14 17:42:48 GMT 2024","197","heatwave","Customer","Auth","","","SignUp-EmptyFields",""
"passed","Wed Aug 14 17:42:51 GMT 2024","Wed Aug 14 17:42:51 GMT 2024","47","heatwave","Customer","Orders","","","Orders-Expired Token",""
"passed","Wed Aug 14 17:42:50 GMT 2024","Wed Aug 14 17:42:50 GMT 2024","48","heatwave","Customer","Orders","","","Orders-Invalid Token",""
"failed","Wed Aug 14 17:42:47 GMT 2024","Wed Aug 14 17:42:47 GMT 2024","61","heatwave","Admin","Utilities","","","States and LGA",""
"failed","Wed Aug 14 17:42:50 GMT 2024","Wed Aug 14 17:42:50 GMT 2024","48","heatwave","Customer","Orders","","","Orders",""
"failed","Wed Aug 14 17:42:48 GMT 2024","Wed Aug 14 17:42:48 GMT 2024","47","heatwave","Admin","Utilities","","","Delivery Area",""
"passed","Wed Aug 14 17:42:50 GMT 2024","Wed Aug 14 17:42:50 GMT 2024","41","heatwave","Customer","Cart","","","Cart",""
"passed","Wed Aug 14 17:42:50 GMT 2024","Wed Aug 14 17:42:50 GMT 2024","44","heatwave","Customer","Profile","","","Profile-InvalidToken",""
"passed","Wed Aug 14 17:42:50 GMT 2024","Wed Aug 14 17:42:50 GMT 2024","45","heatwave","Customer","Auth","","","Login-Empty Password field",""
"passed","Wed Aug 14 17:42:45 GMT 2024","Wed Aug 14 17:42:45 GMT 2024","71","heatwave","Admin","Auth > Signup","","","SignUp-weak password",""
"passed","Wed Aug 14 17:42:46 GMT 2024","Wed Aug 14 17:42:46 GMT 2024","71","heatwave","Admin","Auth > Login","","","Login-Empty email field",""
"passed","Wed Aug 14 17:42:50 GMT 2024","Wed Aug 14 17:42:50 GMT 2024","53","heatwave","Customer","Auth","","","Login-Empty Email field",""
"passed","Wed Aug 14 17:42:49 GMT 2024","Wed Aug 14 17:42:49 GMT 2024","67","heatwave","Customer","Auth","","","SignUp-Existing email",""
"passed","Wed Aug 14 17:42:50 GMT 2024","Wed Aug 14 17:42:50 GMT 2024","40","heatwave","Customer","Profile","","","Profile-No Auth",""
"failed","Wed Aug 14 17:42:47 GMT 2024","Wed Aug 14 17:42:47 GMT 2024","55","heatwave","Admin","Categories","","","Categories",""
"failed","Wed Aug 14 17:42:47 GMT 2024","Wed Aug 14 17:42:47 GMT 2024","63","heatwave","Admin","Utilities","","","States and LGA-Invalid Token Permission",""
"passed","Wed Aug 14 17:42:50 GMT 2024","Wed Aug 14 17:42:50 GMT 2024","43","heatwave","Customer","Cart","","","Update Cart-Invalid Token",""
"passed","Wed Aug 14 17:42:50 GMT 2024","Wed Aug 14 17:42:50 GMT 2024","38","heatwave","Customer","Orders","","","Verify Order/Create Order",""
"failed","Wed Aug 14 17:42:47 GMT 2024","Wed Aug 14 17:42:47 GMT 2024","56","heatwave","Admin","Categories","","","Categories-Empty fields",""
"failed","Wed Aug 14 17:42:49 GMT 2024","Wed Aug 14 17:42:49 GMT 2024","65","heatwave","Customer","Auth","","","SignUp-Invalid inputs",""
"passed","Wed Aug 14 17:42:46 GMT 2024","Wed Aug 14 17:42:46 GMT 2024","68","heatwave","Admin","Auth > Login","","","Login-Invalid Email",""
"passed","Wed Aug 14 17:42:46 GMT 2024","Wed Aug 14 17:42:46 GMT 2024","31","heatwave","Admin","Auth > Login","","","Login-Empty fields",""
"passed","Wed Aug 14 17:42:48 GMT 2024","Wed Aug 14 17:42:48 GMT 2024","197","heatwave","Customer","Auth","","","SignUp",""
