"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 14 17:39:42 GMT 2024","Wed Aug 14 17:39:43 GMT 2024","233","heatwave","Customer","Auth","","","SignUp-EmptyFields",""
"passed","Wed Aug 14 17:39:38 GMT 2024","Wed Aug 14 17:39:38 GMT 2024","32","heatwave","Admin","Auth > Signup","","","SignUp-Existing email",""
"passed","Wed Aug 14 17:39:37 GMT 2024","Wed Aug 14 17:39:37 GMT 2024","153","heatwave","Admin","Auth > Signup","","","SignUp-Empty fields",""
"passed","Wed Aug 14 17:39:39 GMT 2024","Wed Aug 14 17:39:39 GMT 2024","118","heatwave","Admin","Collections","","","Collections-No Auth",""
"failed","Wed Aug 14 17:39:42 GMT 2024","Wed Aug 14 17:39:42 GMT 2024","108","heatwave","Admin","Utilities","","","Delivery Area-Expired token",""
"passed","Wed Aug 14 17:39:40 GMT 2024","Wed Aug 14 17:39:40 GMT 2024","116","heatwave","Admin","Collections","","","Collections-No Auth",""
"failed","Wed Aug 14 17:39:41 GMT 2024","Wed Aug 14 17:39:42 GMT 2024","110","heatwave","Admin","Utilities","","","Delivery Locations-Expired token",""
"failed","Wed Aug 14 17:39:39 GMT 2024","Wed Aug 14 17:39:39 GMT 2024","123","heatwave","Admin","Collections","","","Collections-Empty fields",""
"failed","Wed Aug 14 17:39:43 GMT 2024","Wed Aug 14 17:39:43 GMT 2024","132","heatwave","Customer","Auth","","","SignUp-Invalid inputs",""
"failed","Wed Aug 14 17:39:40 GMT 2024","Wed Aug 14 17:39:40 GMT 2024","113","heatwave","Admin","Categories","","","Categories",""
"passed","Wed Aug 14 17:39:45 GMT 2024","Wed Aug 14 17:39:45 GMT 2024","107","heatwave","Customer","Cart","","","Update Cart-No Auth",""
"passed","Wed Aug 14 17:39:44 GMT 2024","Wed Aug 14 17:39:45 GMT 2024","111","heatwave","Customer","Auth","","","Login-Empty Email field",""
"passed","Wed Aug 14 17:39:38 GMT 2024","Wed Aug 14 17:39:38 GMT 2024","138","heatwave","Admin","Auth > Signup","","","SignUp-weak password",""
"passed","Wed Aug 14 17:39:42 GMT 2024","Wed Aug 14 17:39:42 GMT 2024","105","heatwave","Admin","Utilities","","","Delivery Area-Invalid token",""
"failed","Wed Aug 14 17:39:37 GMT 2024","Wed Aug 14 17:39:38 GMT 2024","296","heatwave","Admin","Auth > Signup","","","SignUp-Invalid Email",""
"failed","Wed Aug 14 17:39:41 GMT 2024","Wed Aug 14 17:39:41 GMT 2024","111","heatwave","Admin","Utilities","","","Delivery Locations",""
"passed","Wed Aug 14 17:39:41 GMT 2024","Wed Aug 14 17:39:41 GMT 2024","151","heatwave","Admin","Utilities","","","States and LGA-Invalid Token",""
"failed","Wed Aug 14 17:39:46 GMT 2024","Wed Aug 14 17:39:46 GMT 2024","220","heatwave","Customer","Cart","","","Update Cart-Empty field",""
"failed","Wed Aug 14 17:39:46 GMT 2024","Wed Aug 14 17:39:46 GMT 2024","106","heatwave","Customer","Orders","","","Orders",""
"passed","Wed Aug 14 17:39:47 GMT 2024","Wed Aug 14 17:39:47 GMT 2024","115","heatwave","Customer","Orders","","","Orders-Invalid Token",""
"passed","Wed Aug 14 17:39:46 GMT 2024","Wed Aug 14 17:39:46 GMT 2024","133","heatwave","Customer","Cart","","","Cart",""
"passed","Wed Aug 14 17:39:47 GMT 2024","Wed Aug 14 17:39:47 GMT 2024","149","heatwave","Customer","Orders","","","Orders-Expired Token",""
"failed","Wed Aug 14 17:39:43 GMT 2024","Wed Aug 14 17:39:44 GMT 2024","121","heatwave","Customer","Auth","","","SignUp-Existing Phone no",""
"failed","Wed Aug 14 17:39:40 GMT 2024","Wed Aug 14 17:39:40 GMT 2024","114","heatwave","Admin","Categories","","","Categories-Existing category",""
"passed","Wed Aug 14 17:39:46 GMT 2024","Wed Aug 14 17:39:46 GMT 2024","112","heatwave","Customer","Orders","","","Verify Order/Create Order",""
"passed","Wed Aug 14 17:39:44 GMT 2024","Wed Aug 14 17:39:44 GMT 2024","224","heatwave","Customer","Auth","","","Login-Invalid Email",""
"passed","Wed Aug 14 17:39:39 GMT 2024","Wed Aug 14 17:39:40 GMT 2024","127","heatwave","Admin","Collections","","","Collections-Invalid Token",""
"passed","Wed Aug 14 17:39:47 GMT 2024","Wed Aug 14 17:39:47 GMT 2024","133","heatwave","Customer","Orders","","","Orders-Expired Token",""
"passed","Wed Aug 14 17:39:41 GMT 2024","Wed Aug 14 17:39:41 GMT 2024","112","heatwave","Admin","Categories","","","Categories-No Auth",""
