"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Aug 24 07:19:27 GMT 2024","Sat Aug 24 07:19:27 GMT 2024","209","heatwave","Admin","Auth > Signup","","","SignUp-Invalid Email",""
"passed","Sat Aug 24 07:19:30 GMT 2024","Sat Aug 24 07:19:30 GMT 2024","57","heatwave","Customer","Auth > Sign Up","","","SignUp-Invalid phone no",""
"passed","Sat Aug 24 07:19:31 GMT 2024","Sat Aug 24 07:19:31 GMT 2024","43","heatwave","Customer","Profile","","","Profile-InvalidToken",""
"passed","Sat Aug 24 07:19:28 GMT 2024","Sat Aug 24 07:19:28 GMT 2024","62","heatwave","Admin","Collections","","","Collections-No Auth",""
"passed","Sat Aug 24 07:19:26 GMT 2024","Sat Aug 24 07:19:27 GMT 2024","433","heatwave","Admin","Auth > Signup","","","SignUp",""
"passed","Sat Aug 24 07:19:28 GMT 2024","Sat Aug 24 07:19:28 GMT 2024","172","heatwave","Admin","Auth > Login","","","Login-incorrect password",""
"passed","Sat Aug 24 07:19:30 GMT 2024","Sat Aug 24 07:19:30 GMT 2024","61","heatwave","Customer","Auth > Sign Up","","","SignUp-Weak Password",""
"failed","Sat Aug 24 07:19:29 GMT 2024","Sat Aug 24 07:19:29 GMT 2024","49","heatwave","Admin","Utilities","","","Delivery Area",""
"failed","Sat Aug 24 07:19:29 GMT 2024","Sat Aug 24 07:19:29 GMT 2024","59","heatwave","Admin","Categories","","","Categories-Existing category",""
"failed","Sat Aug 24 07:19:29 GMT 2024","Sat Aug 24 07:19:30 GMT 2024","46","heatwave","Admin","Utilities","","","Delivery Area-Expired token",""
"passed","Sat Aug 24 07:19:28 GMT 2024","Sat Aug 24 07:19:28 GMT 2024","162","heatwave","Admin","Auth > Login","","","Login Copy",""
"passed","Sat Aug 24 07:19:32 GMT 2024","Sat Aug 24 07:19:32 GMT 2024","39","heatwave","Customer","Cart","","","Cart Item By Id",""
"failed","Sat Aug 24 07:19:29 GMT 2024","Sat Aug 24 07:19:29 GMT 2024","48","heatwave","Admin","Utilities","","","States and LGA-Invalid Token Permission",""
"passed","Sat Aug 24 07:19:30 GMT 2024","Sat Aug 24 07:19:30 GMT 2024","67","heatwave","Customer","Auth > Sign Up","","","SignUp-Existing email",""
"broken","Sat Aug 24 07:19:27 GMT 2024","Sat Aug 24 07:19:27 GMT 2024","31","heatwave","Admin","Auth > Signup","","","SignUp-Invalid Phone no",""
"passed","Sat Aug 24 07:19:27 GMT 2024","Sat Aug 24 07:19:28 GMT 2024","172","heatwave","Admin","Auth > Login","","","Login",""
"passed","Sat Aug 24 07:19:32 GMT 2024","Sat Aug 24 07:19:32 GMT 2024","45","heatwave","Customer","Orders","","","Orders-Invalid Token",""
"passed","Sat Aug 24 07:19:28 GMT 2024","Sat Aug 24 07:19:28 GMT 2024","36","heatwave","Admin","Auth > Login","","","Login-Empty fields",""
