"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 10 09:42:00 GMT 2024","Sat Aug 10 09:42:00 GMT 2024","109","heatwave","Customer","Orders","","","Initiate order",""
"passed","Sat Aug 10 09:41:59 GMT 2024","Sat Aug 10 09:41:59 GMT 2024","110","heatwave","Customer","Cart","","","Update Cart-Empty ID",""
"passed","Sat Aug 10 09:41:54 GMT 2024","Sat Aug 10 09:41:54 GMT 2024","112","heatwave","Admin","Collections","","","Collections-Invalid Token",""
"failed","Sat Aug 10 09:41:57 GMT 2024","Sat Aug 10 09:41:57 GMT 2024","112","heatwave","Customer","Auth","","","SignUp-Existing Phone no",""
"passed","Sat Aug 10 09:41:58 GMT 2024","Sat Aug 10 09:41:58 GMT 2024","219","heatwave","Customer","Auth","","","Login-Incorrect password",""
"passed","Sat Aug 10 09:41:53 GMT 2024","Sat Aug 10 09:41:53 GMT 2024","224","heatwave","Admin","Auth","","","Login-incorrect password",""
"failed","Sat Aug 10 09:42:00 GMT 2024","Sat Aug 10 09:42:00 GMT 2024","105","heatwave","Customer","Orders","","","Orders by ID",""
"passed","Sat Aug 10 09:41:57 GMT 2024","Sat Aug 10 09:41:57 GMT 2024","225","heatwave","Customer","Auth","","","SignUp-Invalid Email",""
"passed","Sat Aug 10 09:41:57 GMT 2024","Sat Aug 10 09:41:57 GMT 2024","118","heatwave","Customer","Auth","","","SignUp-Invalid phone no",""
"passed","Sat Aug 10 09:41:59 GMT 2024","Sat Aug 10 09:41:59 GMT 2024","104","heatwave","Customer","Profile","","","Profile-InvalidToken",""
"passed","Sat Aug 10 09:41:55 GMT 2024","Sat Aug 10 09:41:55 GMT 2024","104","heatwave","Admin","Utilities","","","States and LGA-No Auth",""
"passed","Sat Aug 10 09:41:59 GMT 2024","Sat Aug 10 09:41:59 GMT 2024","104","heatwave","Customer","Cart","","","Update Cart-No Auth",""
"passed","Sat Aug 10 09:41:59 GMT 2024","Sat Aug 10 09:41:59 GMT 2024","114","heatwave","Customer","Cart","","","Update Cart-Empty field",""
"passed","Sat Aug 10 09:41:53 GMT 2024","Sat Aug 10 09:41:53 GMT 2024","26","heatwave","Admin","Auth","","","Login-Empty password field",""
"failed","Sat Aug 10 09:42:01 GMT 2024","Sat Aug 10 09:42:01 GMT 2024","112","heatwave","Customer","Orders","","","Orders-Invalid Token",""
"passed","Sat Aug 10 09:42:00 GMT 2024","Sat Aug 10 09:42:00 GMT 2024","105","heatwave","Customer","Orders","","","Orders-Expired Token",""
"passed","Sat Aug 10 09:41:59 GMT 2024","Sat Aug 10 09:41:59 GMT 2024","109","heatwave","Customer","Cart","","","Update Cart-Expired Token",""
"failed","Sat Aug 10 09:41:55 GMT 2024","Sat Aug 10 09:41:55 GMT 2024","114","heatwave","Admin","Utilities","","","States and LGA-Invalid Token Permission",""
"passed","Sat Aug 10 09:41:58 GMT 2024","Sat Aug 10 09:41:58 GMT 2024","214","heatwave","Customer","Auth","","","Login-Invalid Email",""
"passed","Sat Aug 10 09:41:59 GMT 2024","Sat Aug 10 09:41:59 GMT 2024","106","heatwave","Customer","Cart","","","Update Cart-Invalid Token",""
"passed","Sat Aug 10 09:41:57 GMT 2024","Sat Aug 10 09:41:57 GMT 2024","117","heatwave","Customer","Auth","","","SignUp-Weak Password",""
"passed","Sat Aug 10 09:41:58 GMT 2024","Sat Aug 10 09:41:59 GMT 2024","101","heatwave","Customer","Profile","","","Profile-No Auth",""
"broken","Sat Aug 10 09:42:00 GMT 2024","Sat Aug 10 09:42:00 GMT 2024","14","heatwave","Customer","Cart","","","Cart Item By Id",""
"failed","Sat Aug 10 09:41:54 GMT 2024","Sat Aug 10 09:41:54 GMT 2024","119","heatwave","Admin","Categories","","","Categories-Empty fields",""
"passed","Sat Aug 10 09:41:53 GMT 2024","Sat Aug 10 09:41:53 GMT 2024","130","heatwave","Admin","Collections","","","Collections",""
"passed","Sat Aug 10 09:42:00 GMT 2024","Sat Aug 10 09:42:00 GMT 2024","109","heatwave","Customer","Orders","","","Orders",""
"passed","Sat Aug 10 09:41:51 GMT 2024","Sat Aug 10 09:41:52 GMT 2024","119","heatwave","Admin","Auth","","","SignUp-Empty fields",""
"passed","Sat Aug 10 09:41:52 GMT 2024","Sat Aug 10 09:41:52 GMT 2024","151","heatwave","Admin","Auth","","","SignUp-weak password",""
"failed","Sat Aug 10 09:41:57 GMT 2024","Sat Aug 10 09:41:57 GMT 2024","120","heatwave","Customer","Auth","","","SignUp-Invalid inputs",""
"passed","Sat Aug 10 09:41:57 GMT 2024","Sat Aug 10 09:41:58 GMT 2024","220","heatwave","Customer","Auth","","","Login",""
"passed","Sat Aug 10 09:41:55 GMT 2024","Sat Aug 10 09:41:55 GMT 2024","108","heatwave","Admin","Categories","","","Categories-Invalid Token",""
"passed","Sat Aug 10 09:41:59 GMT 2024","Sat Aug 10 09:42:00 GMT 2024","106","heatwave","Customer","Cart","","","Cart",""
"passed","Sat Aug 10 09:41:54 GMT 2024","Sat Aug 10 09:41:55 GMT 2024","122","heatwave","Admin","Categories","","","Categories-No Auth",""
"passed","Sat Aug 10 09:41:57 GMT 2024","Sat Aug 10 09:41:57 GMT 2024","125","heatwave","Customer","Auth","","","SignUp-Existing email",""
"passed","Sat Aug 10 09:41:58 GMT 2024","Sat Aug 10 09:41:58 GMT 2024","108","heatwave","Customer","Profile","","","Profile",""
"passed","Sat Aug 10 09:41:52 GMT 2024","Sat Aug 10 09:41:52 GMT 2024","42","heatwave","Admin","Auth","","","SignUp-Existing email",""
"passed","Sat Aug 10 09:41:58 GMT 2024","Sat Aug 10 09:41:58 GMT 2024","102","heatwave","Customer","Auth","","","Login-Empty Email field",""
"passed","Sat Aug 10 09:41:53 GMT 2024","Sat Aug 10 09:41:53 GMT 2024","25","heatwave","Admin","Auth","","","Login-Empty fields",""
"passed","Sat Aug 10 09:41:55 GMT 2024","Sat Aug 10 09:41:55 GMT 2024","111","heatwave","Admin","Utilities","","","Delivery Locations",""
"passed","Sat Aug 10 09:41:58 GMT 2024","Sat Aug 10 09:41:58 GMT 2024","106","heatwave","Customer","Auth","","","Login-Empty Password field",""
"broken","Sat Aug 10 09:41:52 GMT 2024","Sat Aug 10 09:41:52 GMT 2024","26","heatwave","Admin","Auth","","","SignUp-Invalid Phone no",""
"passed","Sat Aug 10 09:41:54 GMT 2024","Sat Aug 10 09:41:54 GMT 2024","165","heatwave","Admin","Collections","","","Collections",""
"passed","Sat Aug 10 09:42:00 GMT 2024","Sat Aug 10 09:42:00 GMT 2024","101","heatwave","Customer","Orders","","","Orders-No Auth",""
"broken","Sat Aug 10 09:41:54 GMT 2024","Sat Aug 10 09:41:54 GMT 2024","20","heatwave","Admin","Categories","","","Categories",""
"passed","Sat Aug 10 09:41:52 GMT 2024","Sat Aug 10 09:41:52 GMT 2024","125","heatwave","Admin","Auth","","","SignUp-Existing Phone no",""
"passed","Sat Aug 10 09:41:55 GMT 2024","Sat Aug 10 09:41:55 GMT 2024","105","heatwave","Admin","Utilities","","","Delivery Locations-Invalid Token",""
"passed","Sat Aug 10 09:41:54 GMT 2024","Sat Aug 10 09:41:54 GMT 2024","115","heatwave","Admin","Categories","","","Categories-No Auth",""
"passed","Sat Aug 10 09:41:53 GMT 2024","Sat Aug 10 09:41:53 GMT 2024","108","heatwave","Admin","Auth","","","Login-Empty email field",""
"failed","Sat Aug 10 09:41:56 GMT 2024","Sat Aug 10 09:41:56 GMT 2024","110","heatwave","Admin","Utilities","","","Delivery Area",""
"passed","Sat Aug 10 09:41:53 GMT 2024","Sat Aug 10 09:41:53 GMT 2024","114","heatwave","Admin","Collections","","","Collections-No Auth",""
"passed","Sat Aug 10 09:42:00 GMT 2024","Sat Aug 10 09:42:01 GMT 2024","108","heatwave","Customer","Orders","","","Orders-Expired Token",""
"passed","Sat Aug 10 09:42:00 GMT 2024","Sat Aug 10 09:42:00 GMT 2024","98","heatwave","Customer","Orders","","","Verify Order/Create Order",""
"failed","Sat Aug 10 09:41:56 GMT 2024","Sat Aug 10 09:41:56 GMT 2024","111","heatwave","Admin","Utilities","","","Delivery Area-Expired token",""
"passed","Sat Aug 10 09:41:56 GMT 2024","Sat Aug 10 09:41:56 GMT 2024","106","heatwave","Admin","Utilities","","","Delivery Area-No Auth",""
"passed","Sat Aug 10 09:41:55 GMT 2024","Sat Aug 10 09:41:55 GMT 2024","111","heatwave","Admin","Utilities","","","States and LGA-Invalid Token",""
"failed","Sat Aug 10 09:41:53 GMT 2024","Sat Aug 10 09:41:53 GMT 2024","129","heatwave","Admin","Collections","","","Collections-Empty fields",""
"passed","Sat Aug 10 09:41:58 GMT 2024","Sat Aug 10 09:41:58 GMT 2024","104","heatwave","Customer","Auth","","","Login-Empty fields",""
"passed","Sat Aug 10 09:42:00 GMT 2024","Sat Aug 10 09:42:00 GMT 2024","101","heatwave","Customer","Orders","","","Orders-No Auth",""
"passed","Sat Aug 10 09:41:56 GMT 2024","Sat Aug 10 09:41:56 GMT 2024","102","heatwave","Admin","Utilities","","","Delivery Area-Invalid token",""
"passed","Sat Aug 10 09:42:00 GMT 2024","Sat Aug 10 09:42:00 GMT 2024","103","heatwave","Customer","Orders","","","Orders-Invalid Token",""
"passed","Sat Aug 10 09:41:59 GMT 2024","Sat Aug 10 09:41:59 GMT 2024","102","heatwave","Customer","Profile","","","Profile-Expired Token",""
"failed","Sat Aug 10 09:41:55 GMT 2024","Sat Aug 10 09:41:55 GMT 2024","103","heatwave","Admin","Utilities","","","Delivery Locations-Expired token",""
"passed","Sat Aug 10 09:41:53 GMT 2024","Sat Aug 10 09:41:53 GMT 2024","116","heatwave","Admin","Auth","","","Login-Invalid Email",""
"passed","Sat Aug 10 09:41:52 GMT 2024","Sat Aug 10 09:41:53 GMT 2024","224","heatwave","Admin","Auth","","","Login Copy",""
"failed","Sat Aug 10 09:41:52 GMT 2024","Sat Aug 10 09:41:52 GMT 2024","256","heatwave","Admin","Auth","","","SignUp-Invalid Email",""
"passed","Sat Aug 10 09:41:54 GMT 2024","Sat Aug 10 09:41:54 GMT 2024","117","heatwave","Admin","Categories","","","Categories",""
"passed","Sat Aug 10 09:41:54 GMT 2024","Sat Aug 10 09:41:54 GMT 2024","114","heatwave","Admin","Categories","","","Categories-Existing category",""
"passed","Sat Aug 10 09:41:55 GMT 2024","Sat Aug 10 09:41:56 GMT 2024","104","heatwave","Admin","Utilities","","","Delivery Locations-No Auth",""
"passed","Sat Aug 10 09:41:52 GMT 2024","Sat Aug 10 09:41:52 GMT 2024","119","heatwave","Admin","Auth","","","Login",""
"passed","Sat Aug 10 09:41:51 GMT 2024","Sat Aug 10 09:41:51 GMT 2024","377","heatwave","Admin","Auth","","","SignUp",""
"passed","Sat Aug 10 09:41:54 GMT 2024","Sat Aug 10 09:41:54 GMT 2024","113","heatwave","Admin","Collections","","","Collections-No Auth",""
"passed","Sat Aug 10 09:41:53 GMT 2024","Sat Aug 10 09:41:54 GMT 2024","112","heatwave","Admin","Collections","","","Collections-Invalid Token",""
"passed","Sat Aug 10 09:41:56 GMT 2024","Sat Aug 10 09:41:56 GMT 2024","235","heatwave","Customer","Auth","","","SignUp-EmptyFields",""
"passed","Sat Aug 10 09:41:59 GMT 2024","Sat Aug 10 09:41:59 GMT 2024","123","heatwave","Customer","Cart","","","Update Cart",""
"passed","Sat Aug 10 09:41:56 GMT 2024","Sat Aug 10 09:41:56 GMT 2024","234","heatwave","Customer","Auth","","","SignUp",""
"passed","Sat Aug 10 09:41:55 GMT 2024","Sat Aug 10 09:41:55 GMT 2024","114","heatwave","Admin","Utilities","","","States and LGA",""
