"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 14 17:55:58 GMT 2024","Wed Aug 14 17:55:58 GMT 2024","120","heatwave","Customer","Auth","","","SignUp-Existing email",""
"failed","Wed Aug 14 17:55:56 GMT 2024","Wed Aug 14 17:55:56 GMT 2024","116","heatwave","Admin","Utilities","","","States and LGA",""
"passed","Wed Aug 14 17:56:00 GMT 2024","Wed Aug 14 17:56:00 GMT 2024","107","heatwave","Customer","Profile","","","Profile-Expired Token",""
"passed","Wed Aug 14 17:55:58 GMT 2024","Wed Aug 14 17:55:59 GMT 2024","236","heatwave","Customer","Auth","","","Login",""
"passed","Wed Aug 14 17:56:01 GMT 2024","Wed Aug 14 17:56:01 GMT 2024","110","heatwave","Customer","Orders","","","Orders-No Auth",""
"failed","Wed Aug 14 17:55:55 GMT 2024","Wed Aug 14 17:55:55 GMT 2024","120","heatwave","Admin","Categories","","","Categories-Existing category",""
"passed","Wed Aug 14 17:55:55 GMT 2024","Wed Aug 14 17:55:55 GMT 2024","109","heatwave","Admin","Collections","","","Collections-Invalid Token",""
"failed","Wed Aug 14 17:55:56 GMT 2024","Wed Aug 14 17:55:56 GMT 2024","119","heatwave","Admin","Utilities","","","Delivery Locations",""
"passed","Wed Aug 14 17:55:55 GMT 2024","Wed Aug 14 17:55:56 GMT 2024","124","heatwave","Admin","Categories","","","Categories-No Auth",""
"passed","Wed Aug 14 17:56:01 GMT 2024","Wed Aug 14 17:56:02 GMT 2024","109","heatwave","Customer","Orders","","","Orders-Expired Token",""
"failed","Wed Aug 14 17:56:00 GMT 2024","Wed Aug 14 17:56:00 GMT 2024","114","heatwave","Customer","Cart","","","Update Cart",""
"passed","Wed Aug 14 17:55:58 GMT 2024","Wed Aug 14 17:55:58 GMT 2024","269","heatwave","Customer","Auth","","","SignUp-Invalid Email",""
"failed","Wed Aug 14 17:55:54 GMT 2024","Wed Aug 14 17:55:55 GMT 2024","114","heatwave","Admin","Collections","","","Collections",""
"failed","Wed Aug 14 17:55:57 GMT 2024","Wed Aug 14 17:55:57 GMT 2024","108","heatwave","Admin","Utilities","","","Delivery Area",""
"passed","Wed Aug 14 17:55:58 GMT 2024","Wed Aug 14 17:55:58 GMT 2024","123","heatwave","Customer","Auth","","","SignUp-Invalid phone no",""
"failed","Wed Aug 14 17:56:02 GMT 2024","Wed Aug 14 17:56:02 GMT 2024","110","heatwave","Customer","Orders","","","Orders by ID",""
"failed","Wed Aug 14 17:56:01 GMT 2024","Wed Aug 14 17:56:01 GMT 2024","109","heatwave","Customer","Orders","","","Orders",""
"passed","Wed Aug 14 17:55:52 GMT 2024","Wed Aug 14 17:55:52 GMT 2024","448","heatwave","Admin","Auth > Signup","","","SignUp",""
"passed","Wed Aug 14 17:55:54 GMT 2024","Wed Aug 14 17:55:54 GMT 2024","27","heatwave","Admin","Auth > Login","","","Login-Empty password field",""
"passed","Wed Aug 14 17:55:52 GMT 2024","Wed Aug 14 17:55:52 GMT 2024","142","heatwave","Admin","Auth > Signup","","","SignUp-Empty FirstName Field",""
"failed","Wed Aug 14 17:56:01 GMT 2024","Wed Aug 14 17:56:01 GMT 2024","117","heatwave","Customer","Cart","","","Update Cart-Empty field",""
"failed","Wed Aug 14 17:55:56 GMT 2024","Wed Aug 14 17:55:56 GMT 2024","108","heatwave","Admin","Utilities","","","Delivery Locations-Expired token",""
"passed","Wed Aug 14 17:55:57 GMT 2024","Wed Aug 14 17:55:57 GMT 2024","108","heatwave","Admin","Utilities","","","Delivery Locations-No Auth",""
"passed","Wed Aug 14 17:55:56 GMT 2024","Wed Aug 14 17:55:57 GMT 2024","108","heatwave","Admin","Utilities","","","Delivery Locations-Invalid Token",""
"failed","Wed Aug 14 17:55:58 GMT 2024","Wed Aug 14 17:55:58 GMT 2024","121","heatwave","Customer","Auth","","","SignUp-Existing Phone no",""
"passed","Wed Aug 14 17:55:53 GMT 2024","Wed Aug 14 17:55:53 GMT 2024","143","heatwave","Admin","Auth > Signup","","","SignUp-weak password",""
"passed","Wed Aug 14 17:56:00 GMT 2024","Wed Aug 14 17:56:00 GMT 2024","110","heatwave","Customer","Cart","","","Update Cart-Invalid Token",""
"passed","Wed Aug 14 17:55:53 GMT 2024","Wed Aug 14 17:55:53 GMT 2024","35","heatwave","Admin","Auth > Signup","","","SignUp-Existing email",""
"failed","Wed Aug 14 17:55:55 GMT 2024","Wed Aug 14 17:55:55 GMT 2024","131","heatwave","Admin","Categories","","","Categories-Empty fields",""
