"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Aug 24 06:58:02 GMT 2024","Sat Aug 24 06:58:02 GMT 2024","48","heatwave","Customer","Cart","","","Update Cart",""
"passed","Sat Aug 24 06:58:01 GMT 2024","Sat Aug 24 06:58:02 GMT 2024","46","heatwave","Customer","Auth > Log in","","","Login-Empty Email field",""
"passed","Sat Aug 24 06:58:02 GMT 2024","Sat Aug 24 06:58:02 GMT 2024","44","heatwave","Customer","Profile","","","Profile-Expired Token",""
"passed","Sat Aug 24 06:57:59 GMT 2024","Sat Aug 24 06:57:59 GMT 2024","47","heatwave","Admin","Collections","","","Collections-No Auth",""
"passed","Sat Aug 24 06:57:57 GMT 2024","Sat Aug 24 06:57:57 GMT 2024","350","heatwave","Admin","Auth > Signup","","","SignUp",""
"broken","Sat Aug 24 06:57:57 GMT 2024","Sat Aug 24 06:57:58 GMT 2024","29","heatwave","Admin","Auth > Signup","","","SignUp-Invalid Phone no",""
"passed","Sat Aug 24 06:58:02 GMT 2024","Sat Aug 24 06:58:02 GMT 2024","42","heatwave","Customer","Cart","","","Cart Item By Id",""
"failed","Sat Aug 24 06:58:00 GMT 2024","Sat Aug 24 06:58:00 GMT 2024","48","heatwave","Admin","Utilities","","","Delivery Area",""
"failed","Sat Aug 24 06:58:00 GMT 2024","Sat Aug 24 06:58:00 GMT 2024","49","heatwave","Admin","Utilities","","","Delivery Locations-Expired token",""
"passed","Sat Aug 24 06:57:59 GMT 2024","Sat Aug 24 06:57:59 GMT 2024","57","heatwave","Admin","Collections","","","Collections-No Auth",""
"failed","Sat Aug 24 06:58:03 GMT 2024","Sat Aug 24 06:58:03 GMT 2024","47","heatwave","Customer","Orders","","","Orders by ID",""
"passed","Sat Aug 24 06:57:57 GMT 2024","Sat Aug 24 06:57:57 GMT 2024","55","heatwave","Admin","Auth > Signup","","","SignUp-Empty FirstName Field",""
"passed","Sat Aug 24 06:58:03 GMT 2024","Sat Aug 24 06:58:03 GMT 2024","43","heatwave","Customer","Orders","","","Orders-No Auth",""
"passed","Sat Aug 24 06:58:01 GMT 2024","Sat Aug 24 06:58:01 GMT 2024","50","heatwave","Customer","Auth > Log in","","","Login-Empty fields",""
"passed","Sat Aug 24 06:58:02 GMT 2024","Sat Aug 24 06:58:02 GMT 2024","40","heatwave","Customer","Orders","","","Initiate order",""
"passed","Sat Aug 24 06:58:02 GMT 2024","Sat Aug 24 06:58:02 GMT 2024","55","heatwave","Customer","Orders","","","Orders-No Auth",""
"passed","Sat Aug 24 06:57:58 GMT 2024","Sat Aug 24 06:57:58 GMT 2024","28","heatwave","Admin","Auth > Login","","","Login-Empty password field",""
"passed","Sat Aug 24 06:57:59 GMT 2024","Sat Aug 24 06:57:59 GMT 2024","49","heatwave","Admin","Categories","","","Categories-No Auth",""
"passed","Sat Aug 24 06:57:58 GMT 2024","Sat Aug 24 06:57:58 GMT 2024","55","heatwave","Admin","Auth > Signup","","","SignUp-Existing email",""
"failed","Sat Aug 24 06:57:59 GMT 2024","Sat Aug 24 06:58:00 GMT 2024","52","heatwave","Admin","Utilities","","","Delivery Locations",""
"passed","Sat Aug 24 06:57:58 GMT 2024","Sat Aug 24 06:57:58 GMT 2024","104","heatwave","Admin","Auth > Signup","","","SignUp-weak password",""
"failed","Sat Aug 24 06:58:01 GMT 2024","Sat Aug 24 06:58:01 GMT 2024","71","heatwave","Customer","Auth > Sign Up","","","SignUp-Invalid inputs",""
"passed","Sat Aug 24 06:58:01 GMT 2024","Sat Aug 24 06:58:01 GMT 2024","158","heatwave","Customer","Auth > Log in","","","Login-Invalid Email",""
"failed","Sat Aug 24 06:58:02 GMT 2024","Sat Aug 24 06:58:02 GMT 2024","150","heatwave","Customer","Orders","","","Orders",""
"passed","Sat Aug 24 06:58:02 GMT 2024","Sat Aug 24 06:58:02 GMT 2024","47","heatwave","Customer","Cart","","","Update Cart-Empty ID",""
"passed","Sat Aug 24 06:58:01 GMT 2024","Sat Aug 24 06:58:01 GMT 2024","47","heatwave","Customer","Auth > Log in","","","Login-Empty Password field",""
"passed","Sat Aug 24 06:58:01 GMT 2024","Sat Aug 24 06:58:01 GMT 2024","85","heatwave","Customer","Auth > Sign Up","","","SignUp-Existing email",""
"passed","Sat Aug 24 06:57:58 GMT 2024","Sat Aug 24 06:57:58 GMT 2024","170","heatwave","Admin","Auth > Login","","","Login Copy",""
"passed","Sat Aug 24 06:57:59 GMT 2024","Sat Aug 24 06:57:59 GMT 2024","58","heatwave","Admin","Collections","","","Collections-Invalid Token",""
"passed","Sat Aug 24 06:58:01 GMT 2024","Sat Aug 24 06:58:01 GMT 2024","74","heatwave","Customer","Auth > Sign Up","","","SignUp-Invalid phone no",""
"passed","Sat Aug 24 06:57:59 GMT 2024","Sat Aug 24 06:57:59 GMT 2024","47","heatwave","Admin","Utilities","","","States and LGA-No Auth",""
"passed","Sat Aug 24 06:58:03 GMT 2024","Sat Aug 24 06:58:03 GMT 2024","177","heatwave","Customer","Orders","","","Orders-Expired Token",""
"passed","Sat Aug 24 06:57:58 GMT 2024","Sat Aug 24 06:57:58 GMT 2024","69","heatwave","Admin","Auth > Login","","","Login-Invalid Email",""
"failed","Sat Aug 24 06:58:03 GMT 2024","Sat Aug 24 06:58:03 GMT 2024","57","heatwave","Customer","Orders","","","Orders-Invalid Token",""
