"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 24 07:47:05 GMT 2024","Sat Aug 24 07:47:05 GMT 2024","89","heatwave","Admin","Auth > Signup","","","SignUp-Existing Phone no",""
"passed","Sat Aug 24 07:47:07 GMT 2024","Sat Aug 24 07:47:07 GMT 2024","58","heatwave","Admin","Utilities","","","Delivery Area-No Auth",""
"passed","Sat Aug 24 07:47:09 GMT 2024","Sat Aug 24 07:47:09 GMT 2024","162","heatwave","Customer","Auth > Log in","","","Login-Invalid Email",""
"passed","Sat Aug 24 07:47:06 GMT 2024","Sat Aug 24 07:47:06 GMT 2024","122","heatwave","Admin","Collections","","","Collections",""
"passed","Sat Aug 24 07:47:12 GMT 2024","Sat Aug 24 07:47:13 GMT 2024","49","heatwave","Customer","Orders","","","Orders-Expired Token",""
"passed","Sat Aug 24 07:47:09 GMT 2024","Sat Aug 24 07:47:09 GMT 2024","59","heatwave","Customer","Cart","","","Update Cart-Expired Token",""
"passed","Sat Aug 24 07:47:08 GMT 2024","Sat Aug 24 07:47:09 GMT 2024","184","heatwave","Customer","Auth > Log in","","","Login-Incorrect password",""
"passed","Sat Aug 24 07:47:08 GMT 2024","Sat Aug 24 07:47:08 GMT 2024","193","heatwave","Customer","Auth > Sign Up","","","SignUp-Invalid Email",""
"failed","Sat Aug 24 07:47:06 GMT 2024","Sat Aug 24 07:47:06 GMT 2024","72","heatwave","Admin","Categories","","","Categories-Existing category",""
"passed","Sat Aug 24 07:47:11 GMT 2024","Sat Aug 24 07:47:12 GMT 2024","59","heatwave","Customer","Cart","","","Cart Item By Id",""
"passed","Sat Aug 24 07:47:07 GMT 2024","Sat Aug 24 07:47:07 GMT 2024","75","heatwave","Admin","Utilities","","","Delivery Locations",""
"failed","Sat Aug 24 07:47:12 GMT 2024","Sat Aug 24 07:47:12 GMT 2024","66","heatwave","Customer","Orders","","","Orders-Invalid Token",""
"passed","Sat Aug 24 07:47:03 GMT 2024","Sat Aug 24 07:47:04 GMT 2024","669","heatwave","Admin","Auth > Signup","","","SignUp",""
"passed","Sat Aug 24 07:47:06 GMT 2024","Sat Aug 24 07:47:06 GMT 2024","100","heatwave","Admin","Categories","","","Categories",""
"passed","Sat Aug 24 07:47:09 GMT 2024","Sat Aug 24 07:47:09 GMT 2024","88","heatwave","Customer","Cart","","","Update Cart",""
"passed","Sat Aug 24 07:47:09 GMT 2024","Sat Aug 24 07:47:09 GMT 2024","63","heatwave","Customer","Profile","","","Profile",""
"passed","Sat Aug 24 07:47:08 GMT 2024","Sat Aug 24 07:47:08 GMT 2024","209","heatwave","Customer","Auth > Log in","","","Login",""
"passed","Sat Aug 24 07:47:06 GMT 2024","Sat Aug 24 07:47:07 GMT 2024","74","heatwave","Admin","Utilities","","","States and LGA",""
"failed","Sat Aug 24 07:47:08 GMT 2024","Sat Aug 24 07:47:08 GMT 2024","78","heatwave","Customer","Auth > Sign Up","","","SignUp-Existing Phone no",""
"passed","Sat Aug 24 07:47:05 GMT 2024","Sat Aug 24 07:47:05 GMT 2024","31","heatwave","Admin","Auth > Login","","","Login-Empty password field",""
"passed","Sat Aug 24 07:47:05 GMT 2024","Sat Aug 24 07:47:05 GMT 2024","50","heatwave","Admin","Auth > Login","","","Login-Empty email field",""
"passed","Sat Aug 24 07:47:06 GMT 2024","Sat Aug 24 07:47:06 GMT 2024","76","heatwave","Admin","Collections","","","Collections-No Auth",""
"failed","Sat Aug 24 07:47:07 GMT 2024","Sat Aug 24 07:47:07 GMT 2024","54","heatwave","Admin","Utilities","","","Delivery Area-Expired token",""
"passed","Sat Aug 24 07:47:05 GMT 2024","Sat Aug 24 07:47:05 GMT 2024","176","heatwave","Admin","Auth > Login","","","Login-incorrect password",""
