"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 14 19:12:43 GMT 2024","Wed Aug 14 19:12:43 GMT 2024","46","heatwave","Admin","Utilities","","","States and LGA-No Auth",""
"passed","Wed Aug 14 19:12:46 GMT 2024","Wed Aug 14 19:12:46 GMT 2024","48","heatwave","Customer","Cart","","","Update Cart-Invalid Token",""
"passed","Wed Aug 14 19:12:40 GMT 2024","Wed Aug 14 19:12:41 GMT 2024","400","heatwave","Admin","Auth > Signup","","","SignUp",""
"failed","Wed Aug 14 19:12:46 GMT 2024","Wed Aug 14 19:12:47 GMT 2024","51","heatwave","Customer","Orders","","","Orders-Invalid Token",""
"failed","Wed Aug 14 19:12:42 GMT 2024","Wed Aug 14 19:12:42 GMT 2024","79","heatwave","Admin","Collections","","","Collections",""
"passed","Wed Aug 14 19:12:46 GMT 2024","Wed Aug 14 19:12:46 GMT 2024","45","heatwave","Customer","Cart","","","Update Cart-Expired Token",""
"broken","Wed Aug 14 19:12:41 GMT 2024","Wed Aug 14 19:12:41 GMT 2024","33","heatwave","Admin","Auth > Signup","","","SignUp-Invalid Phone no",""
"failed","Wed Aug 14 19:12:43 GMT 2024","Wed Aug 14 19:12:43 GMT 2024","56","heatwave","Admin","Categories","","","Categories-Existing category",""
"passed","Wed Aug 14 19:12:43 GMT 2024","Wed Aug 14 19:12:43 GMT 2024","61","heatwave","Admin","Categories","","","Categories",""
"passed","Wed Aug 14 19:12:42 GMT 2024","Wed Aug 14 19:12:42 GMT 2024","71","heatwave","Admin","Collections","","","Collections-Invalid Token",""
"failed","Wed Aug 14 19:12:42 GMT 2024","Wed Aug 14 19:12:42 GMT 2024","63","heatwave","Admin","Collections","","","Collections",""
"passed","Wed Aug 14 19:12:45 GMT 2024","Wed Aug 14 19:12:45 GMT 2024","192","heatwave","Customer","Auth > Log in","","","Login-Incorrect password",""
"passed","Wed Aug 14 19:12:46 GMT 2024","Wed Aug 14 19:12:46 GMT 2024","96","heatwave","Customer","Orders","","","Orders-Expired Token",""
"failed","Wed Aug 14 19:12:44 GMT 2024","Wed Aug 14 19:12:44 GMT 2024","44","heatwave","Admin","Utilities","","","Delivery Area",""
"passed","Wed Aug 14 19:12:45 GMT 2024","Wed Aug 14 19:12:46 GMT 2024","46","heatwave","Customer","Profile","","","Profile-InvalidToken",""
"passed","Wed Aug 14 19:12:44 GMT 2024","Wed Aug 14 19:12:44 GMT 2024","188","heatwave","Customer","Auth > Sign Up","","","SignUp-Invalid Email",""
