"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Aug 14 18:33:48 GMT 2024","Wed Aug 14 18:33:48 GMT 2024","69","heatwave","Customer","Auth","","","SignUp-Invalid inputs",""
"passed","Wed Aug 14 18:33:46 GMT 2024","Wed Aug 14 18:33:46 GMT 2024","74","heatwave","Admin","Collections","","","Collections-Invalid Token",""
"passed","Wed Aug 14 18:33:49 GMT 2024","Wed Aug 14 18:33:49 GMT 2024","43","heatwave","Customer","Cart","","","Cart Item By Id",""
"failed","Wed Aug 14 18:33:44 GMT 2024","Wed Aug 14 18:33:44 GMT 2024","191","heatwave","Admin","Auth > Signup","","","SignUp-Invalid Email",""
"failed","Wed Aug 14 18:33:46 GMT 2024","Wed Aug 14 18:33:47 GMT 2024","62","heatwave","Admin","Utilities","","","States and LGA",""
"passed","Wed Aug 14 18:33:50 GMT 2024","Wed Aug 14 18:33:50 GMT 2024","48","heatwave","Customer","Orders","","","Orders-No Auth",""
"passed","Wed Aug 14 18:33:49 GMT 2024","Wed Aug 14 18:33:49 GMT 2024","72","heatwave","Customer","Cart","","","Update Cart-Expired Token",""
"passed","Wed Aug 14 18:33:48 GMT 2024","Wed Aug 14 18:33:49 GMT 2024","161","heatwave","Customer","Auth","","","Login-Invalid Email",""
"failed","Wed Aug 14 18:33:49 GMT 2024","Wed Aug 14 18:33:50 GMT 2024","52","heatwave","Customer","Orders","","","Orders",""
"passed","Wed Aug 14 18:33:49 GMT 2024","Wed Aug 14 18:33:49 GMT 2024","50","heatwave","Customer","Auth","","","Login-Empty Password field",""
"passed","Wed Aug 14 18:33:46 GMT 2024","Wed Aug 14 18:33:46 GMT 2024","54","heatwave","Admin","Collections","","","Collections-No Auth",""
"passed","Wed Aug 14 18:33:46 GMT 2024","Wed Aug 14 18:33:46 GMT 2024","63","heatwave","Admin","Categories","","","Categories-Invalid Token",""
"passed","Wed Aug 14 18:33:45 GMT 2024","Wed Aug 14 18:33:45 GMT 2024","174","heatwave","Admin","Auth > Login","","","Login Copy",""
"passed","Wed Aug 14 18:33:45 GMT 2024","Wed Aug 14 18:33:45 GMT 2024","184","heatwave","Admin","Auth > Login","","","Login",""
"passed","Wed Aug 14 18:33:48 GMT 2024","Wed Aug 14 18:33:48 GMT 2024","160","heatwave","Customer","Auth","","","Login-Incorrect password",""
"passed","Wed Aug 14 18:33:50 GMT 2024","Wed Aug 14 18:33:50 GMT 2024","52","heatwave","Customer","Orders","","","Orders-Invalid Token",""
"passed","Wed Aug 14 18:33:49 GMT 2024","Wed Aug 14 18:33:49 GMT 2024","47","heatwave","Customer","Profile","","","Profile-Expired Token",""
"failed","Wed Aug 14 18:33:46 GMT 2024","Wed Aug 14 18:33:46 GMT 2024","65","heatwave","Admin","Categories","","","Categories-Existing category",""
"passed","Wed Aug 14 18:33:49 GMT 2024","Wed Aug 14 18:33:49 GMT 2024","45","heatwave","Customer","Orders","","","Initiate order",""
"failed","Wed Aug 14 18:33:46 GMT 2024","Wed Aug 14 18:33:46 GMT 2024","64","heatwave","Admin","Collections","","","Collections",""
"passed","Wed Aug 14 18:33:45 GMT 2024","Wed Aug 14 18:33:45 GMT 2024","172","heatwave","Admin","Auth > Login","","","Login-incorrect password",""
"passed","Wed Aug 14 18:33:47 GMT 2024","Wed Aug 14 18:33:47 GMT 2024","52","heatwave","Admin","Utilities","","","States and LGA-No Auth",""
"failed","Wed Aug 14 18:33:46 GMT 2024","Wed Aug 14 18:33:46 GMT 2024","63","heatwave","Admin","Collections","","","Collections",""
"passed","Wed Aug 14 18:33:44 GMT 2024","Wed Aug 14 18:33:45 GMT 2024","119","heatwave","Admin","Auth > Signup","","","SignUp-weak password",""
"passed","Wed Aug 14 18:33:44 GMT 2024","Wed Aug 14 18:33:44 GMT 2024","74","heatwave","Admin","Auth > Signup","","","SignUp-Empty FirstName Field",""
"passed","Wed Aug 14 18:33:46 GMT 2024","Wed Aug 14 18:33:46 GMT 2024","55","heatwave","Admin","Categories","","","Categories",""
"passed","Wed Aug 14 18:33:47 GMT 2024","Wed Aug 14 18:33:47 GMT 2024","45","heatwave","Admin","Utilities","","","Delivery Locations-Invalid Token",""
