"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 14 19:03:13 GMT 2024","Wed Aug 14 19:03:13 GMT 2024","152","heatwave","Admin","Collections","","","Collections-Invalid Token",""
"passed","Wed Aug 14 19:03:16 GMT 2024","Wed Aug 14 19:03:16 GMT 2024","50","heatwave","Customer","Auth > Log in","","","Login-Empty Password field",""
"passed","Wed Aug 14 19:03:15 GMT 2024","Wed Aug 14 19:03:16 GMT 2024","176","heatwave","Customer","Auth > Log in","","","Login",""
"passed","Wed Aug 14 19:03:15 GMT 2024","Wed Aug 14 19:03:15 GMT 2024","72","heatwave","Customer","Auth > Sign Up","","","SignUp-Existing email",""
"failed","Wed Aug 14 19:03:16 GMT 2024","Wed Aug 14 19:03:16 GMT 2024","53","heatwave","Customer","Cart","","","Update Cart",""
"passed","Wed Aug 14 19:03:14 GMT 2024","Wed Aug 14 19:03:14 GMT 2024","58","heatwave","Admin","Utilities","","","Delivery Locations-No Auth",""
"failed","Wed Aug 14 19:03:14 GMT 2024","Wed Aug 14 19:03:14 GMT 2024","59","heatwave","Admin","Utilities","","","Delivery Area",""
"passed","Wed Aug 14 19:03:17 GMT 2024","Wed Aug 14 19:03:17 GMT 2024","47","heatwave","Customer","Cart","","","Cart",""
"passed","Wed Aug 14 19:03:14 GMT 2024","Wed Aug 14 19:03:14 GMT 2024","51","heatwave","Admin","Utilities","","","States and LGA-Invalid Token",""
"passed","Wed Aug 14 19:03:17 GMT 2024","Wed Aug 14 19:03:17 GMT 2024","55","heatwave","Customer","Orders","","","Orders-No Auth",""
"passed","Wed Aug 14 19:03:15 GMT 2024","Wed Aug 14 19:03:15 GMT 2024","74","heatwave","Customer","Auth > Sign Up","","","SignUp-Invalid phone no",""
"passed","Wed Aug 14 19:03:16 GMT 2024","Wed Aug 14 19:03:16 GMT 2024","48","heatwave","Customer","Profile","","","Profile-No Auth",""
"failed","Wed Aug 14 19:03:16 GMT 2024","Wed Aug 14 19:03:16 GMT 2024","51","heatwave","Customer","Profile","","","Profile",""
"passed","Wed Aug 14 19:03:15 GMT 2024","Wed Aug 14 19:03:15 GMT 2024","86","heatwave","Customer","Auth > Sign Up","","","SignUp-Weak Password",""
"passed","Wed Aug 14 19:03:08 GMT 2024","Wed Aug 14 19:03:11 GMT 2024","2867","heatwave","Admin","Auth > Signup","","","SignUp",""
"failed","Wed Aug 14 19:03:13 GMT 2024","Wed Aug 14 19:03:13 GMT 2024","68","heatwave","Admin","Collections","","","Collections",""
"failed","Wed Aug 14 19:03:15 GMT 2024","Wed Aug 14 19:03:15 GMT 2024","67","heatwave","Customer","Auth > Sign Up","","","SignUp-Invalid inputs",""
"failed","Wed Aug 14 19:03:14 GMT 2024","Wed Aug 14 19:03:14 GMT 2024","48","heatwave","Admin","Utilities","","","States and LGA-Invalid Token Permission",""
"passed","Wed Aug 14 19:03:14 GMT 2024","Wed Aug 14 19:03:14 GMT 2024","52","heatwave","Admin","Utilities","","","Delivery Area-Invalid token",""
"passed","Wed Aug 14 19:03:17 GMT 2024","Wed Aug 14 19:03:17 GMT 2024","52","heatwave","Customer","Orders","","","Orders-Expired Token",""
"passed","Wed Aug 14 19:03:16 GMT 2024","Wed Aug 14 19:03:16 GMT 2024","160","heatwave","Customer","Auth > Log in","","","Login-Invalid Email",""
"passed","Wed Aug 14 19:03:12 GMT 2024","Wed Aug 14 19:03:13 GMT 2024","69","heatwave","Admin","Auth > Login","","","Login-Invalid Email",""
"passed","Wed Aug 14 19:03:16 GMT 2024","Wed Aug 14 19:03:16 GMT 2024","86","heatwave","Customer","Auth > Log in","","","Login-Empty fields",""
"passed","Wed Aug 14 19:03:13 GMT 2024","Wed Aug 14 19:03:13 GMT 2024","56","heatwave","Admin","Collections","","","Collections-Invalid Token",""
"failed","Wed Aug 14 19:03:17 GMT 2024","Wed Aug 14 19:03:17 GMT 2024","60","heatwave","Customer","Orders","","","Orders",""
